[INFO] [2021-07-23T13:13:55Z] 58.246.142.204 curl方法参数:["https:\/\/api.adapay.tech\/v1\/payments",{"app_id":"app_8cf327b5-84d3-45d3-8499-41211760c5d9","order_no":"ZY_2021072321135595520003","pay_channel":"alipay_wap","pay_amt":35,"goods_title":"商品订单ZY_2021072321135595520003","goods_desc":"FDPAY","currency":"cny","notify_url":"https:\/\/pay.fairydeed.com\/plugins\/adapay\/notify.php","sign_type":"RSA2"},["Content-Type:application\/json","sdk_version:v1.3.1","Authorization:api_live_b652c502-6e70-48fd-9e39-0ccdf7c11a12","Signature:D08qdXZng9pVEVnGXq3wN2YfaiUwEbkfNU5+hs3WsuC1bdEtDxHFqEpBIuVhL7L4eCWJnIHGh+pDNqv\/m4tVzI\/9shZ2\/oDCC2TRqlTuJkA+3Y2kow0OSUEdgolLTxjzqzF2cLWfhLkkiBmeHfRGZHXhTYbyXztOJW7nQihoXaQ="],true]
[INFO] [2021-07-23T13:13:56Z] 58.246.142.204 post-json请求参数:{"app_id":"app_8cf327b5-84d3-45d3-8499-41211760c5d9","order_no":"ZY_2021072321135595520003","pay_channel":"alipay_wap","pay_amt":35,"goods_title":"商品订单ZY_2021072321135595520003","goods_desc":"FDPAY","currency":"cny","notify_url":"https:\/\/pay.fairydeed.com\/plugins\/adapay\/notify.php","sign_type":"RSA2"}
[INFO] [2021-07-23T13:13:56Z] 58.246.142.204 curl请求头:["Content-Type:application\/json","sdk_version:v1.3.1","Authorization:api_live_b652c502-6e70-48fd-9e39-0ccdf7c11a12","Signature:D08qdXZng9pVEVnGXq3wN2YfaiUwEbkfNU5+hs3WsuC1bdEtDxHFqEpBIuVhL7L4eCWJnIHGh+pDNqv\/m4tVzI\/9shZ2\/oDCC2TRqlTuJkA+3Y2kow0OSUEdgolLTxjzqzF2cLWfhLkkiBmeHfRGZHXhTYbyXztOJW7nQihoXaQ=","Content-Length:327"]
[INFO] [2021-07-23T13:13:56Z] 58.246.142.204 curl返回参数:400"{\"data\":\"{\\\"app_id\\\":\\\"app_8cf327b5-84d3-45d3-8499-41211760c5d9\\\",\\\"error_code\\\":\\\"request_parameter_error\\\",\\\"error_msg\\\":\\\"请求参数错误\\\",\\\"error_type\\\":\\\"invalid_request_error\\\",\\\"invalid_param\\\":\\\"pay_amt\\\",\\\"order_no\\\":\\\"ZY_2021072321135595520003\\\",\\\"pay_amt\\\":\\\"35\\\",\\\"pay_channel\\\":\\\"alipay_wap\\\",\\\"status\\\":\\\"failed\\\"}\",\"signature\":\"dfV\/O3oA9dnGzM2IX0Jjva0sCWc2OaWKbiTa1h9s0lOWDHGEdCtbybM8C61ou+0PFxzIVIwpJUPkMw0eabJDtkEA5SLByc\/FF3S4ScPmiOLMf5R280ekpuAUW1A1DpzNFPPUkIMyjpNpOyjEWdZCboWaZnFnkm28\/ucuCLRQyyo=\"}"
[INFO] [2021-07-23T13:14:17Z] 58.246.142.204 curl方法参数:["https:\/\/api.adapay.tech\/v1\/payments",{"app_id":"app_8cf327b5-84d3-45d3-8499-41211760c5d9","order_no":"ZY_2021072321141642327410","pay_channel":"alipay_wap","pay_amt":18,"goods_title":"商品订单ZY_2021072321141642327410","goods_desc":"FDPAY","currency":"cny","notify_url":"https:\/\/pay.fairydeed.com\/plugins\/adapay\/notify.php","sign_type":"RSA2"},["Content-Type:application\/json","sdk_version:v1.3.1","Authorization:api_live_b652c502-6e70-48fd-9e39-0ccdf7c11a12","Signature:Hm6by0FqOoyIdYGxj4HSP2qsGBP5g19xFDrnkiWgTrt4NecnkvNcoHwFTYiovpGWBiYBqJ8qitr28wTbntTJR+6vVD+SdR\/Y629FpWKTYe4\/KKLF8z+PFlSZo3fB\/uv26+rl+3r3S4eK3Mku8RcL+K5TjWdy\/pF94bn6QWMwiWI="],true]
[INFO] [2021-07-23T13:14:17Z] 58.246.142.204 post-json请求参数:{"app_id":"app_8cf327b5-84d3-45d3-8499-41211760c5d9","order_no":"ZY_2021072321141642327410","pay_channel":"alipay_wap","pay_amt":18,"goods_title":"商品订单ZY_2021072321141642327410","goods_desc":"FDPAY","currency":"cny","notify_url":"https:\/\/pay.fairydeed.com\/plugins\/adapay\/notify.php","sign_type":"RSA2"}
[INFO] [2021-07-23T13:14:17Z] 58.246.142.204 curl请求头:["Content-Type:application\/json","sdk_version:v1.3.1","Authorization:api_live_b652c502-6e70-48fd-9e39-0ccdf7c11a12","Signature:Hm6by0FqOoyIdYGxj4HSP2qsGBP5g19xFDrnkiWgTrt4NecnkvNcoHwFTYiovpGWBiYBqJ8qitr28wTbntTJR+6vVD+SdR\/Y629FpWKTYe4\/KKLF8z+PFlSZo3fB\/uv26+rl+3r3S4eK3Mku8RcL+K5TjWdy\/pF94bn6QWMwiWI=","Content-Length:327"]
[INFO] [2021-07-23T13:14:17Z] 58.246.142.204 curl返回参数:400"{\"data\":\"{\\\"app_id\\\":\\\"app_8cf327b5-84d3-45d3-8499-41211760c5d9\\\",\\\"error_code\\\":\\\"request_parameter_error\\\",\\\"error_msg\\\":\\\"请求参数错误\\\",\\\"error_type\\\":\\\"invalid_request_error\\\",\\\"invalid_param\\\":\\\"pay_amt\\\",\\\"order_no\\\":\\\"ZY_2021072321141642327410\\\",\\\"pay_amt\\\":\\\"18\\\",\\\"pay_channel\\\":\\\"alipay_wap\\\",\\\"status\\\":\\\"failed\\\"}\",\"signature\":\"d8X\/7kH95ZOi0JaqTlFijWH+k9MjCWs9EuUw\/Q6RigCDmyqpQ3VwS6BNSu14PVAusg1wWXheQznIvOWephbYIDDaai20jm+u\/YC+L7Vz7CWMFuV6NSUyeMoh5NSBG7hSCJEN\/dDC8\/X2A+K4RwT0iVzzA6RFGUAbvHnAMkyoDAU=\"}"
[INFO] [2021-07-23T13:16:35Z] 58.246.142.204 curl方法参数:["https:\/\/api.adapay.tech\/v1\/payments",{"app_id":"app_8cf327b5-84d3-45d3-8499-41211760c5d9","order_no":"PY_20210723211635929225","pay_channel":"alipay_wap","time_expire":"20210724211635","pay_amt":25,"goods_title":"商品订单ZY_2021072321163494608852","goods_desc":"FDPAY","currency":"cny","notify_url":"https:\/\/pay.fairydeed.com\/plugins\/adapay\/notify.php","route_flag":"Y","device_info":{"device_ip":"106.14.16.249","device_type":1},"description":"description","device_id":{"device_id":"1111"},"sign_type":"RSA2"},["Content-Type:application\/json","sdk_version:v1.3.1","Authorization:api_live_b652c502-6e70-48fd-9e39-0ccdf7c11a12","Signature:MTErh6yzlrVMDGEi4h9Ibo0y0pYwJ8X0ZxQPStY1jOvieIu2DVAvowu+evZ6Um1wUt236RNETn3g9\/xI\/649sFVAMfDT1NuQYeAmzPGzbhm\/lPd7iDHQFv1lttpK\/GldGtfC0pPfMtSn246sml2ZFG3u8T3bO1JRGVcJYuNqnrk="],true]
[INFO] [2021-07-23T13:16:35Z] 58.246.142.204 post-json请求参数:{"app_id":"app_8cf327b5-84d3-45d3-8499-41211760c5d9","order_no":"PY_20210723211635929225","pay_channel":"alipay_wap","time_expire":"20210724211635","pay_amt":25,"goods_title":"商品订单ZY_2021072321163494608852","goods_desc":"FDPAY","currency":"cny","notify_url":"https:\/\/pay.fairydeed.com\/plugins\/adapay\/notify.php","route_flag":"Y","device_info":{"device_ip":"106.14.16.249","device_type":1},"description":"description","device_id":{"device_id":"1111"},"sign_type":"RSA2"}
[INFO] [2021-07-23T13:16:35Z] 58.246.142.204 curl请求头:["Content-Type:application\/json","sdk_version:v1.3.1","Authorization:api_live_b652c502-6e70-48fd-9e39-0ccdf7c11a12","Signature:MTErh6yzlrVMDGEi4h9Ibo0y0pYwJ8X0ZxQPStY1jOvieIu2DVAvowu+evZ6Um1wUt236RNETn3g9\/xI\/649sFVAMfDT1NuQYeAmzPGzbhm\/lPd7iDHQFv1lttpK\/GldGtfC0pPfMtSn246sml2ZFG3u8T3bO1JRGVcJYuNqnrk=","Content-Length:494"]
